Layer,Atom,Element,x,y,z,Occupancy,Biso
A,Y1,Y3+,0,0,0,1,0.993
A,Li1,Li1+,0.33333,0,0,1,0.993
A,Li2,Li1+,0.66667,0,0,1,0.993
A,Li3,Li1+,0,0.33333,0,1,0.993
A,Li4,Li1+,0,0.66667,0,1,0.993
A,Li5,Li1+,0.33333,0.33333,0,1,0.993
A,Li6,Li1+,0.66667,0.66667,0,1,0.993
C,Y1,Y3+,0.66667,0.33333,0.5,1,0.993
C,Y2,Y3+,0.33333,0.66667,0.5,1,0.993
C,Li1,Li1+,0.33333,0,0.5,0.5,0.993
C,Li2,Li1+,0.66667,0,0.5,0.5,0.993
C,Li3,Li1+,0,0.33333,0.5,0.5,0.993
C,Li4,Li1+,0,0.66667,0.5,0.5,0.993
C,Li5,Li1+,0.33333,0.33333,0.5,0.5,0.993
C,Li6,Li1+,0.66667,0.66667,0.5,0.5,0.993
B1,Cl1,Cl1-,0.22,0.11,0.25,1,1.4
B1,Cl2,Cl1-,0.56,0.11,0.25,1,1.4
B1,Cl3,Cl1-,0.89,0.11,0.25,1,1.4
B1,Cl4,Cl1-,0.22,0.45,0.25,1,1.4
B1,Cl5,Cl1-,0.56,0.45,0.25,1,1.4
B1,Cl6,Cl1-,0.89,0.45,0.25,1,1.4
B1,Cl7,Cl1-,0.22,0.78,0.25,1,1.4
B1,Cl8,Cl1-,0.56,0.78,0.25,1,1.4
B1,Cl9,Cl1-,0.89,0.78,0.25,1,1.4
