Layer,Atom,Element,x,y,z,Occupancy
A,Sc1,Sc3+,0,0,0,1
A,Cl1,Cl1-,0.2313,0,-0.2421,1
A,Cl2,Cl1-,-0.2313,0,0.2421,1
A,Cl3,Cl1-,-0.2371,-0.1609,-0.2387,1
A,Cl4,Cl1-,-0.2371,0.1609,-0.2387,1
A,Cl5,Cl1-,0.2371,-0.1609,0.2387,1
A,Cl6,Cl1-,0.2371,0.1609,0.2387,1
A,Li1a,Li+,0,0.3347,0,1
A,Li1b,Li+,0,0.6653,0,1
A,Li2a,Li+,0.5,0.169,0,0.365
A,Li2b,Li+,0.5,0.831,0,0.365
A,Li3,Li+,0.5,0.5,0,0.27
B,Sc1,Sc3+,0,0.5,0.5,1
B,Cl1,Cl1-,-0.2313,0.5,0.7421,1
B,Cl2,Cl1-,0.2313,0.5,0.2579,1
B,Cl3,Cl1-,-0.2371,0.6609,0.2613,1
B,Cl4,Cl1-,0.2371,0.3391,0.7387,1
B,Cl5,Cl1-,-0.2371,0.3391,0.2613,1
B,Cl6,Cl1-,0.2371,0.6609,0.7387,1
B,Li1a,Li+,0,0.1653,0.5,1
B,Li1b,Li+,0,0.8347,0.5,1
B,Li2a,Li+,0.5,0.331,0.5,0.365
B,Li2b,Li+,0.5,0.669,0.5,0.365
B,Li3,Li+,0.5,0,0.5,0.27
